speaker,dialog,debate_num
John Delaney,  million americans say they like their private health insurance by the way it should be noted that 100 million americans  i mean i think we should be the party that keeps whats working and fixes whats broken i mean doesnt that make sense i mean we should give everyone in this country healthcare as a basic human right for free full stop but we should also give them the option to buy private insurance why do we have to stand for taking away something from people and also its bad policy if you go to every hospital in this country and you asked them one question which is how would it have been for you last year if every one of your bills were paid at the medicare rate every single hospital administrator said they would close,1
John Delaney, the medicare for all bill requires payments to stay at current medicare rates to some extent were basically supporting a bill that will have every hospital closed i mean my dad was a union electrician right i actually grew up in a working class family he loved the healthcare that the ibew gave him i just always think about my dad and anything i would do it from a policy perspective hed look at me and hed say good job john for getting healthcare for every american,1
Lester Holt, ive let this,1
John Delaney,  but why are you taking my healthcare away,1
Lester Holt,  play out a little bit because im fascinated to hear the daylight between you congresswoman gabbard,1
Tulsi Gabbard, yes,1
Lester Holt, weigh in here,1
Tulsi Gabbard, i think were talking about this in the wrong way youre talking about one bill over another bill really what were talking about is our objective making sure that every single sick american in this country is able to get the healthcare that they need i believe medicare for all is the way to do that i also think that employers will recognize how much money will be saved by supporting a medicare for all program a program that will reduce the administrative costs reduce the bureaucratic costs and make sure that everyone gets that quality healthcare that they need i also think if you look at,1
Lester Holt, senator,1
Tulsi Gabbard,  other countries in the world who have universal healthcare every one of them has some form of a role of private insurance i think thats what weve got to look at taking the best of these ideas but making sure unequivocally that no sick american goes without getting the care that they need regardless of how much or little money,1
Lester Holt, congresswoman,1
Tulsi Gabbard,  they have in their pocket,1
Lester Holt, congresswoman thanks let me turn to senator booker on this senator booker explain to me where you are this is hugely important to people so tell us where you are,1
Cory Booker, i absolutely will first of all were talking about this as a healthcare issue but in communities like mine low income communities  an education issue because kids who dont have health care are not going to succeed in school it is an issue for jobs and employment because people that do not have good healthcare do not succeed at work its even a retirement issue because in my community african americans have a lower life expectancy because of poor health care and so where i stand is very clear healthcare is not just a human right it should be an american right,1
Cory Booker, i believe the best way to get there is medicare for all but i have an urgency about this when i am president of the united states im not going to wait we have to do the things immediately that are going to provide better care on this debate im sorry there are too many people profiteering off of the pain of people in america from pharmaceutical companies to insurers literally the overhead for insurers that they charge is 15 while medicares overhead is only at 2 we can do this better and every single day i will be fighting to give people more access and more affordable costs until we get to my goal,1
Lester Holt, your time is up senator,1
Cory Booker,  which is every american having healthcare,1
Lester Holt, your time is up senator i want to move back if i can to ,1
Senator Warren, let me just ask the senator i just want to add to senator bookers point of  and that is that the insurance companies last year alone sucked 23 billion in profits out of the healthcare system 23 billion and that doesnt count the money that was paid to executives the money that was spent lobbying washington we have a giant industry that wants our healthcare system to stay the way it is because its not working for families but its sure as heck working for them,1
Lester Holt, governor inslee,1
Senator Warren, it is time for us to make,1
Lester Holt, governor inslee governor inslee,1
Senator Warren,  families come first,1
Jay Inslee, it should not be an option in the united states of america for any insurance company to deny women coverage for their exercise of their right of choice i am the only candidate here who has passed a law protecting a womans right of reproductive health and health insurance im the only candidate who has passed a public option i respect everybodys goals and plans here but we do have one candidate thats actually advanced the ball and we got to have access for everyone ive done it as a public option,1
Lester Holt,  your time is up governor senator klobuchar i want to give you,1
Speaker 16, thats a false claim thats a false claim,1
Speaker 17, lester lester,1
Lester Holt, im fascinated by this senator klobuchar,1
Amy Klobachar, i just want to say theres three women up here that have fought pretty hard for a womans right to choose so ill start with that then i just want to make very clear i think we share the goal of universal healthcare the idea i put out there the public option which the governor was just talking about this idea is that you use medicare or medicaid without any insurance companies involved you could do it either way the estimates are 13 million people would see a reduction in their premiums 12 more million people would get covered i think it is a beginning and the way you start and the way you move to universal healthcare,1
Lester Holt,  secretary castro this one is for you all of you on stage support a womans right to an abortion you all support some version of a government healthcare option would your plan cover abortion mr secretary,1
Julian Castro, yes it would i dont believe only in reproductive freedom i believe in reproductive justice what that means is just because a woman or lets also not forget someone in the trans communitya trans female is poor doesnt mean they shouldnt have the right to exercise that right to choose i absolutely would cover the right to have an abortion,1
Julian Castro, more than that everybody in this crowd and watching at home knows that in our country today a persons right to choose is under assault in places like missouri in alabama in georgia i would appoint judges to the federal bench that understand the precedent of roe v wade and would respect it and in addition to that make sure that we fight hard as we transition our healthcare system to one where everybody can get and exercise that right,1
Lester Holt, senator warren would you put limits on  any limits on abortion,1
Senator Warren, i would make certain that every woman has access to the full range of reproductive healthcare services and that includes birth control it includes abortion it includes everything for a woman i want to add on that its not enough for us to expect the courts to protect us 47 years ago roe versus wade was decided and weve all looked to the courts all that time as state after state has undermined roe has put in exceptions has come right up to the edge of taking away protection,1
Lester Holt, your time is up senator,1
Senator Warren, we now have an america where most people support roe versus wade we need to make that a federal law,1
Lester Holt, senator youre over thank you ,1
Jose D.B., lester thank you senator booker i want to kind of come back on a discussion we were having about health and the opioid crisis you represent a state where 14 of the 28 largest pharmaceutical companies are based should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do,1
Cory Booker, they should absolutely be held criminally liable because they are liable and responsible this is one of the reasons why well before i was running for president i said i would not take contributions from pharma companies not take contributions from corporate pacs or pharma executives because they are part of this problem and this opioid addiction in our country we in cities like mine have tried to arrest our way out of addiction for too long it is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that,1
Jose D.B., congressman orourke how would you deal with it,1
Beto O’Rourke, tonight in this country you have 23 million of our fellow americans behind bars its the largest prison population on the face of the planet many are there for nonviolent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized it and yet despite what purdue pharma has done their connection to the opioid crisis and the overdose deaths that were seeing throughout this country theyve been able to act with complete impunity and pay no consequences not a single night in jail unless theres accountability and justice this crisis will continue in my administration we will hold them to account we will make sure that they pay a price and we will help those whove been victims of this malfeasance in this country get them treatment and longterm care,1
Lester Holt, i know immigration is on a lot of your minds here and i want to talk about it were going to talk about it in a moment we need to take a break well be back with more from miami after this,1
Jose, we want to turn to an issue that has been in the news especially this week there are undocumented children being held alone in detention even as close as homestead florida right here less than 30 miles from where we are tonight fathers and mothers and children are dying while trying to enter the united states of america we saw that image today it broke our hearts and they had names oscar martínez and his 23 month old daughter valeria died trying to cross the river to ask for asylum in this country,1
Jose, last month more than 130000 migrants were apprehended at the southern border secretary castro if you were president today  what would you specifically do,1
Julian Castro, thank you very much jose im very proud that in april i became the first candidate to put forward a comprehensive immigration plan and we saw those images,1
Julian Castro, watching that image of oscar and his daughter valeria is heartbreaking it should also piss us all off if i were president today and it should spur us to action if i were president today i would sign an executive order that would get rid of trumps zero tolerance policy the remain in mexico policy and the metering policy this metering policy is basically what prompted oscar and valeria to make that risky swim across the river they had been playing games with people who were coming and trying to seek asylum at our ports of entry oscar and valeria went to a port of entry and then they were denied the ability to make an asylum claim so they got frustrated and they tried to cross the river and they died because of that,1
Jose, on day one sorry im just going to ask you for 30 seconds,1
Julian Castro, on day i would do that executive order that would address metering and then i would follow that up in my first hundred days with immigration reform that would honor asylum claims that would put undocumented immigrants as long as they havent committed a serious crime on a pathway to citizenship and that would go to the root cause of the issue which is we need a marshall plan for honduras and guatemala and el salvador so that people can find safety and opportunity at home instead of coming to the united states to seek it,1
Jose, senator booker what would you do on day one and this is a situation that the next president will inherit,1
Cory Booker, yes ,1
Cory Booker, on day one i will make sure that number one we end the ice policies and the customs and border policies that are violating the human rights when people come to this country they do not leave their human rights at the border number two i will make sure that we reinstate daca that we reinstate pathways to citizenship for daca recipients and to make sure that people that are here on temporary protected status can stay and remain here and then finally we need to make sure that we address the issues that made oscar and valeria come in the first place by making major investments in the northern triangle not like this president is doing by ripping away the resources we need to actually solve this problem we cannot surrender our values and then think that were going to get border security we actually will lose security and our values we must fight for both,1
Julian Castro, if i might very briefly and this is an important point my plan and im glad to see that senator booker senator warren and governor inslee agree with me on this my plan also includes getting rid of section 1325 of the immigration and nationality act to go back to the way we used to treat this when somebody comes across the border not to criminalize desperation to treat that as a civil violation and heres why its important we see all of this horrendous family separation they use that law section 1325 to justify under the law separating little children  from their families,1
Cory Booker, jose,1
Julian Castro, ,1
Jose, 30 seconds senator,1
Cory Booker, as my friend here said i agree with him on that issue but folks should understand that the separation of children from families doesnt just go on at our border it happens in our communities as ice are ripping away parents from their american children spouses in the light and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work we must end those policies,1
Bill De Blasio, jose we have to change our discussion about immigration  in this county because look at the bottom line here those tragic that tragic photo of those that parent that child and im saying this as a father every american should feel that in their heart and every american should say that is not america those are not our values but we have to get under the skin of why we have this crisis in our system because were not being honest about the division thats been fomented in this country the way that american citizens have been told that immigrants somehow created their misery and their pain and their challenges,1
Bill De Blasio, for all the american citizens out there who feel youre falling behind or feel the american dream is not working for you the immigrants didnt do that to you the big corporations did that to you the 1 did that to you we need to be the party of working people and that includes a party of immigrants but first we have to tell working people in america who are hurting that were going to be on their side every single time against those big corporations who created this mess to begin with and remind people were all in this together if we dont change that debate that politics thats holding us back we wont get all these reforms people are talking about ,1
Jose, if i could up sorry  what would you do congressman day one at the white house,1
Beto O’Rourke,  and we would not criminally prosecute any family because who was fleeing violence and persecution we would make sure we implemented,1
Jose, secretary let him finish and i will give you  but let him finish let him finish please yes,1
Beto O’Rourke, we would not detain any family fleeing violence in fact fleeing the deadliest countries on the face of the planet today we would implement a family case management program so they could be cared for in the community at a fraction of the cost and then we would rewrite our immigration laws in our own image free dreamers forever from any fear of deportation by making them us citizens here in this country invest in solutions in central america work with regional stakeholders so theres no reason to make  that 2000 mile journey to this country,1
Julian Castro, but we have ,1
Jose, secretary ill give you 30 seconds ,1
Julian Castro, lets be very clear the reason that theyre separating these little children from their families is that theyre using section 1325 of that act which criminalizes coming across the border to incarcerate the parents and then separate them some of us on this stage have called to end that section to terminate it some like congressman orourke have not and i want to challenge all of the candidates to do that,1
Julian Castro, i just think its a mistake beto i think its a mistake and i think that that if you truly want to change the system that we got to repeal that section if not,1
Jose, thank you,1
Julian Castro, then it might  as well stay the same policy,1
Beto O’Rourke, let me respond to this very briefly  actually as a member of congress i helped to introduce legislation that would ensure that we dont criminalize those who are seeking asylum and refuge in this country if youre fleeing,1
Julian Castro, im not talking about the ones that are seeking asylum im talking about everybody else,1
Beto O’Rourke, if youre fleeing desperation then i want to make sure  treated with respect,1
Julian Castro, im still talking about everybody else,1
Beto O’Rourke, but youre looking at just one small part of this im talking about a comprehensive rewrite of our immigration laws,1
Julian Castro, thats not true,1
Beto O’Rourke, and if you do that  i dont think its asking too much for people to follow our laws when they come to this country,1
Julian Castro, im talking about millions of folks a lot of folks that are coming are not seeking asylum a lot of them are undocumented immigrants right and you said recently that the reason you didnt want to repeal section 1325 was because you were concerned about human trafficking and drug trafficking but let me tell you what section 18,1
Jose, secretary,1
Julian Castro, title 18 of the us code title 21 and title 22 already cover human trafficking ,1
Beto O’Rourke, if we apprehend a known smuggler or drug trafficker were going to make sure that they are deported and criminally prosecuted,1
Julian Castro, i think that you should do your homework on this issue if you did your homework on this issue  you would know that we should repeal this section,1
Jose, this is an issue that we should and could be talking about for a long time and we will for a long time but were going,1
John Delaney, can we talk about the conditions to why people are coming here,1
Jose, lets let lester  savannah sorry savannah i know its just we could go on,1
John Delaney, but rather than talking about specific provisions we really have to talk about why these people are coming to our country,1
Savannah, youll get your chance,1
John Delaney, and what were going to do to actually make a difference in these countries,1
Savannah, congressman youll get your chance lets continue the discussion senator klobuchar,1
Amy Klobuchar, yes,1
Savannah, lets talk about what secretary castro just said he wants to no longer have it be a crime to illegally cross the border do you support that do you think it should be a civil offense only and if so do you worry about potentially incentivizing people to come here,1
Amy Klobuchar, immigrants they do not diminish america they are america and i am happy to look at his proposal but i do think you want to make sure that you have provisions in place that allow you to go after traffickers and allow you to go after people who are violating the law,1
Amy Klobuchar, what i really think we need to step back and talk about is the economic imperative here and that is that 70 of our fortune 500 companies are headed up by people that came from other countries 25 of our us nobel laureates were born in other countries we have a situation right now where we need workers in our fields and in our factories we need them to start small businesses we need their ideas and this president has literally gone backwards at a time where our economy needs immigrants,1
Amy Klobuchar, and so my proposal is to look at that 2013 bill that passed the senate with republican support to upgrade that bill to make it as good as possible and get it done it brings the debt down by 158 billion,1
Savannah, senator,1
Amy Klobuchar, it gives a path to citizenship for citizen for people who can become citizens  and it wouldnt be so much better for our economy in america,1
Savannah, thats time thank you congressman ryan same question should it be a crime to illegally cross the border or should it be a civil offense only,1
Tim Ryan, well i agree with secretary castro i think there are other provisions in the law that will allow you to prosecute people for coming over here if theyre dealing in drugs and other things thats already established in the law so theres no need to repeat it and i think its abhorrent were talking about this father who got killed with his daughter and the issues here the way these kids are being treated if you go to guantanamo bay there are terrorists that are held that get better healthcare than those kids that have tried to cross the border into the united states that needs to stop,1
Tim Ryan, and i think the president should immediately ask doctors and nurses to go immediately down to the border and start taking care of these kids what kind of country are we running here where we have a president of the united states whos focused on hate and fear and division and what has happened now the end result is now weve got kids literally laying in their own snot with three week old diapers that havent been changed weve got to tell this president that is not a sign  of strength mr president that is a sign of weakness,1
Savannah, senator booker  a lot of people jose asked a question if youre president on day one what will you do with the fact that you will have families here theres been a lot of talk about what youll do in the first 100 days about legislation what will you actually do with these families how will you care for them will they be detained or will they not be,1
